COMMENT,kmp_n_72_min_2_max_144_run_ff_000_111
SORT_BY,72
144,143
143,143
142,143
141,143
140,143
139,143
138,143
137,143
136,143
135,143
134,143
133,143
132,143
131,143
130,143
129,143
128,143
127,143
126,143
125,143
124,143
123,143
122,143
121,143
120,143
119,143
118,143
117,143
116,143
115,143
114,143
113,143
112,143
111,143
110,143
109,143
108,143
107,143
106,143
105,143
104,143
103,143
102,143
101,143
100,143
99,143
98,143
97,143
96,143
95,143
94,143
93,143
92,143
91,143
90,143
89,143
88,143
87,143
86,143
85,143
84,143
83,143
82,143
81,143
80,143
79,143
78,143
77,143
76,143
75,143
74,143
73,143
72,143
71,143
70,144
69,145
68,146
67,147
66,148
65,149
64,150
63,151
62,152
61,153
60,154
59,155
58,156
57,157
56,158
55,159
54,160
53,161
52,162
51,163
50,164
49,165
48,166
47,167
46,168
45,169
44,170
43,171
42,172
41,173
40,174
39,175
38,176
37,177
36,178
35,180
34,183
33,186
32,189
31,192
30,195
29,198
28,201
27,204
26,207
25,210
24,213
23,218
22,224
21,230
20,236
19,242
18,248
17,257
16,267
15,277
14,288
13,303
12,318
11,338
10,360
9,388
8,423
7,468
6,528
5,612
4,738
3,948
2,1368
1,2628
