COMMENT,kmp_n_88_min_2_max_176_run_ff_anb
SORT_BY,88
176,88
175,88
174,88
173,88
172,88
171,88
170,88
169,88
168,88
167,88
166,88
165,88
164,88
163,88
162,88
161,88
160,88
159,88
158,88
157,88
156,88
155,88
154,88
153,88
152,88
151,88
150,88
149,88
148,88
147,88
146,88
145,88
144,88
143,88
142,88
141,88
140,88
139,88
138,88
137,88
136,88
135,88
134,88
133,88
132,88
131,88
130,88
129,88
128,88
127,88
126,88
125,88
124,88
123,88
122,88
121,88
120,88
119,88
118,88
117,88
116,88
115,88
114,88
113,88
112,88
111,88
110,88
109,88
108,88
107,88
106,88
105,88
104,88
103,88
102,88
101,88
100,88
99,88
98,88
97,88
96,88
95,88
94,88
93,88
92,88
91,88
90,88
89,88
88,88
87,88
86,88
85,88
84,88
83,88
82,88
81,88
80,88
79,88
78,88
77,88
76,88
75,88
74,88
73,88
72,88
71,88
70,88
69,88
68,88
67,88
66,88
65,88
64,88
63,88
62,88
61,88
60,88
59,88
58,88
57,88
56,88
55,88
54,88
53,88
52,88
51,88
50,88
49,88
48,88
47,88
46,88
45,88
44,88
43,88
42,88
41,88
40,88
39,88
38,88
37,88
36,88
35,88
34,88
33,88
32,88
31,88
30,88
29,88
28,88
27,88
26,88
25,88
24,88
23,88
22,88
21,88
20,88
19,88
18,88
17,88
16,88
15,88
14,88
13,88
12,88
11,88
10,88
9,88
8,88
7,88
6,88
5,88
4,88
3,88
2,88
1,88
