COMMENT,kmp_n_85_min_2_max_170_run_ff_001122_112200
SORT_BY,85
170,90
169,90
168,90
167,90
166,90
165,90
164,90
163,90
162,90
161,90
160,90
159,90
158,90
157,90
156,90
155,90
154,90
153,90
152,90
151,90
150,90
149,90
148,90
147,90
146,90
145,90
144,90
143,90
142,90
141,90
140,90
139,90
138,90
137,90
136,90
135,90
134,90
133,90
132,90
131,90
130,90
129,90
128,90
127,90
126,90
125,90
124,90
123,90
122,90
121,90
120,90
119,90
118,90
117,90
116,90
115,90
114,90
113,90
112,90
111,90
110,90
109,90
108,90
107,90
106,90
105,90
104,90
103,90
102,90
101,90
100,90
99,90
98,90
97,90
96,90
95,90
94,90
93,90
92,90
91,90
90,90
89,90
88,90
87,90
86,90
85,90
84,90
83,90
82,90
81,90
80,90
79,92
78,93
77,93
76,94
75,94
74,94
73,94
72,94
71,94
70,94
69,94
68,94
67,94
66,94
65,94
64,94
63,94
62,94
61,94
60,94
59,94
58,94
57,94
56,94
55,94
54,94
53,94
52,94
51,94
50,94
49,94
48,94
47,94
46,94
45,94
44,94
43,94
42,94
41,94
40,94
39,94
38,94
37,94
36,94
35,94
34,94
33,94
32,94
31,94
30,94
29,94
28,94
27,94
26,94
25,94
24,94
23,94
22,94
21,94
20,94
19,94
18,94
17,94
16,94
15,94
14,94
13,94
12,94
11,94
10,94
9,94
8,94
7,95
6,96
5,97
4,98
3,102
2,108
1,128
